,,Product Code,Private Hospi Alex,Private Hospi Cairo,Private Hospi Del2,Private Hospi Giza,Private Hospi Upper,Key Accounts W Cairo,Key Accounts W Giza,ك.عملاء اسكندرية 1,ك.عملاء اسكندرية2,ك.عملاء مطروح واسكن3,ك.عملاء  البحيرة 1,ك.عملاء البحيرة 2,ك.عملاء شرق القاهرة1,ك.عملاء القناة,ك.عملاء وسط البلد,October K.Acc,ك.عملاء فبصل والهرم,ك.عملاء امبابة,Helwan K.Acc,ك.عملاء شرق القاهرة2,ك.ع.م.نصر وهليوبليس,ك.عملاء المنوفية, ك.عملاء الغربية 1,ك.عملاء كفر الشيخ,ك.عملاء الدقهلية 1,ك.ع.الدقهلية2 ودمياط,ك.عملاء الشرقية,ك.عملاء القليوبية, ك.عملاء الغربية 2,ك.عملاء اسيوط,ك.عملاء اسوان,ك.ع.بنى سويف والفيوم,ك.عملاء المنيا,ك.عملاء قنا,ك.عملاء سوهاج,ك.عملاء سوهاج وقنا,ك.ع.المنيا واسيوط,ك.ع.الاقصر والغردقة,Retail  Al-Falaky,Retail Al-Qabary,Retail Nasria,Retail Damanhour 2,Retail Damanhour 3,Retail Mina Al-Basal,Retail Miami,Retail Al-Qabary 2,Retail Almaza 1,Retail Nasr Al-Deen,Retail Imbaba,Retail October,Retail Al-Fayoum,Retail SUEZ,Retail Al-Matarya,Retail Almaza 2,Retail Ein Shams 1,Retail Mostorod,Retail Road Al-Farag,Retail Ein Shams 2,Re Khatem Morsalin,Retail Helwan,Retail Helwan 2,Retail Damanhour,Retail Tanta,Retail Al-Mahala 2,Retail Kafr Al-Zayat,Retail Mansora,Retail Mansora 2,Retail Dekernes,Retail Domiat,Retail Shebin,Retail Al-Zagazik,Retail Fakous,Retail Banha 1,Retail Banha 2,Retail Berka Sabe,Retail Al-Mahala,Retail Tanta 2,RETAIL Monof,Retail Kafr AlZayat2,Retail Al-Zagazik 2,Retail Port-Said,Retail Bani Sueaf,Retail Al-Menia 2,Retail Mallawi,Retail Assuit 3,Retail Assuit 2,Retail El- Kwamel,Retail Sohag,Retail Qena,Retail EL-Balina,Retail Luxor,Retail Aswan,Retail Al-Menia,Retail Hurghada,Retail Ngaa Hammadi,Super KA Alex,Super KA Cairo,Super KA Delta,Super KA Giza,Super KA Canal,Key Acc. W Shebien,Key Acc. W Bani Suwa,Key Acc. W Qabary,Key Acc. W Kafr Elza,Key Acc. W Zakazik,Key Acc. W Menya,Key Acc. W Assiut,Key Acc. W Sohag,Key Acc. W Luxor,Super KA. W Giza,Super KA. W Delta1,Super KA. W Delta2,Super KA. W Delta3,Total,Total Bonus
ايه يو جى,ابيوبروسول جيل 100 جرام,33273,,,,,,,,,,,6,4,,,,,,,,,,,1,,,2,,,,2,,1,,3,,,3,189,,,2,2,,,,,,,,3,,,,,,,,,,2,,5,,2,,,,2,,,,,,,,5,,,1,,,,,3,,,1,,,,,,1,5,,,,,,,,,,,,,,,,,,,,245,0
,,,,,,,,,,,,,265.50,177.00,,,,,,,,,,,44.25,,,88.50,,,,88.50,,44.25,,132.75,,,132.75,"8,363.25",,,88.50,88.50,,,,,,,,132.75,,,,,,,,,,88.50,,221.25,,88.50,,,,88.50,,,,,,,,221.25,,,44.25,,,,,132.75,,,44.25,,,,,,44.25,221.25,,,,,,,,,,,,,,,,,,,,"10,841.25",
,ازموراب 10 مجم 7 اكياس,34782,,,30,,,,,,3,8,6,54,3,4,3,3,,13,,-5,1,10,,,10,442,13,2,10,22,151,1,3,10,10,95,1,8,,,1,28,3,,,,,,1,2,8,11,,,,,,,,,,,,2,,26,3,22,4,,,22,3,1,10,,,3,2,,6,5,,,2,,1,,4,"1,204",8,7,1,3,2,60,27,377,30,5,300,,,,420,,,,,0,,,600,"4,125",71
,,,,,"1,606.50",,,,,,141.75,378.00,283.50,"2,929.50",141.75,189.00,141.75,141.75,,614.25,,-236.25,47.25,472.50,,,472.50,"20,884.50",614.25,94.50,472.50,"1,228.50","7,323.75",47.25,141.75,472.50,472.50,"5,244.75",47.25,378.00,,,47.25,"1,512.00",141.75,,,,,,47.25,94.50,378.00,519.75,,,,,,,,,,,,94.50,,"1,417.50",141.75,"1,039.50",189.00,,,"1,228.50",141.75,47.25,472.50,,,141.75,94.50,,283.50,236.25,,,94.50,,47.25,,189.00,"56,889.00",378.00,330.75,47.25,141.75,94.50,"3,071.25","1,464.75","18,285.75","1,606.50",236.25,"14,175.00",,,,"19,845.00",,,,,0.00,,,"28,350.00","198,261.00",
,ازموراب 20 مجم 2 شريط,20667,,,,-53,,10,,0,1,,-1,0,4,,,3,6,,,,,,,,,,,,3,,,,,,,,,5,,,,7,,4,0,,,,,,,,,,9,,,,7,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,4,,,,,2,,,3,,,0,,,,,0,20,,,,,,40,0
,,,,,,"-2,027.25",,540.00,,0.00,54.00,,-54.00,0.00,168.75,,,114.75,229.50,,,,,,,,,,,,162.00,,,,,,,,,270.00,,,,378.00,,216.00,0.00,,,,,,,,,,454.50,,,,267.75,,,,,,,,,,,,,,,,324.00,,,,,,,,,,,,,,,,216.00,,,,,108.00,,,114.75,,,0.00,,,,,0.00,"1,080.00",,,,,,"2,616.75",
,ازموراب 40 مجم 14 كبسولة,20666,2,,1,11,2,,,27,13,25,25,37,24,18,24,39,22,35,24,9,30,9,25,163,8,48,26,116,15,22,330,127,14,14,8,12,5,36,6,2,16,222,16,8,10,4,4,5,3,12,14,9,3,7,3,4,4,4,28,6,4,124,2,13,3,4,11,20,9,7,1,8,6,18,12,3,10,13,17,1,16,17,49,1,14,7,4,3,4,2,10,12,6,2,6,398,107,87,"1,163",30,,,33,,,100,,,0,,,,,"4,093",555
,,,201.00,,100.50,"1,105.50",201.00,,,"2,713.50","1,306.50","2,512.50","2,613.00","3,718.50","2,412.00","1,809.00","2,412.00","3,919.50","2,211.00","3,517.50","2,412.00",904.50,"3,015.00",904.50,"2,512.50","18,391.50",804.00,"4,824.00","2,613.00","13,065.00","1,507.50","2,211.00","37,386.00","13,768.50","1,407.00","1,407.00",804.00,"1,206.00",502.50,"3,618.00",603.00,201.00,"1,608.00","24,823.50","1,608.00",804.00,"1,005.00",402.00,402.00,502.50,301.50,"1,206.00","1,407.00",904.50,301.50,703.50,301.50,402.00,402.00,402.00,"2,814.00",603.00,402.00,"14,472.00",201.00,"1,306.50",301.50,402.00,"1,105.50","2,010.00",904.50,703.50,100.50,804.00,603.00,"1,809.00","1,206.00",301.50,"1,005.00","1,306.50","1,708.50",100.50,"1,608.00","1,708.50","5,527.50",100.50,"1,407.00",703.50,402.00,301.50,402.00,201.00,"1,005.00","1,206.00",603.00,201.00,603.00,"47,034.00","12,462.00","9,246.00","148,036.50","3,015.00",,,"3,316.50",,,"11,557.50",,,0.00,,,,,"467,124.00",
,ازموراب 40 مجم 7 كيس,33740,10,,,2,,,,,,,4,1,,1,3,2,,2,,,,2,,3,54,3,,2,,,41,6,2,5,6,25,,1,,,,,,1,,,,,2,,,,,,,,,,2,,,,,,,,,2,1,1,,1,3,1,7,1,,,,,,3,,,,,,,,3,,4,,,,,,,3,8,,,,,,,,,,,,,,218,12
,,,787.50,,,157.50,,,,,,,315.00,78.75,,78.75,236.25,157.50,,157.50,,,,157.50,,236.25,"5,040.00",236.25,,157.50,,,"3,386.25",472.50,157.50,393.75,472.50,"1,968.75",,78.75,,,,,,78.75,,,,,157.50,,,,,,,,,,157.50,,,,,,,,,157.50,78.75,78.75,,78.75,236.25,78.75,551.25,78.75,,,,,,236.25,,,,,,,,236.25,,315.00,,,,,,,236.25,630.00,,,,,,,,,,,,,,"18,112.50",
