Property Name,Address,Stories,Google fixed Address,Disadvantaged? yes/no,Notes
,,,,Map,
Across the Park,"2700 South Annabelle St., Detroit, MI, 48036",13,,,
Arbor Manor Townhouses,"693 Arbor Dr., Ypsilanti, MI, 48216",1,,,
Autumn Woods Apartments,"701 South Filmore, Wagoner, OK, 48234",1,,,
Auxora Arms Apartments,"9101-1 Auxor Road, Little Rock, AR, 48197",2,,,
Bayview Tower Apartments,"864 Spring Street, Muskegon, MI, 48201",11,,,
Bella Vista Glen,"369 Glendale Avenue, Highland Park, MI, 72202",5,,,
Bishop Moore Apartments,"99 Manchester Parkway, Highland Park, MI, 49783",8,,,
Bissell Apartments,"1300 Klein Ave., Venice, IL, 48207",2,,,
Blair Park,"606 Blair Park Dr., Jackson, MI, 48214",2,,,
Braidwood Manor,"336 North Main St., Davison, MI, 48207",6,,,
Cambridge Heights,"311 Dumas Dr., Natchez, MS, 48197",1,,,
Cameron Villa Apartments,"160 Mark Randy Place, Modesto, CA, 49006",2,,,
Central Towers,"2520 AND 2565 Central Ave., Detroit, MI, 48201",12,,,
Chidester Place,"330 Chidester St., Ypsilanti, MI, 18224",8,,,
Clemens Court Apartments,"24213 Lotus Drive, Clinton Twp., MI, 72401",3,,,
Clement Kern Garden Apartments,"1661 Bagley St., Detroit, MI, 48503",2,,,
Conner Creek Apartments,"4661 E. Outer Drive, Detroit, MI, 34102",3,,,
Cross Street Village,"210 West Cross Street, Ypsilanti, MI, 48867",3,,,
Crystal Lofts,"3100 Woodward Ave, Detroit, MI, 48060",2,,,
Eastview Terrace Apartments,"1200 Geyer Street, Little Rock, AR, 49508",2,,,
Edge of the Woods Apartments,"301 W. 24th Avenue, Sault Sainte Marie, MI, 49423",3,,,
Elmwood Towers,"1325 Chene St, Detroit, MI, 48226",7,,,
Fairview Apartments,"3568 Fairview Avenue, Detroit, MI, 48226",2,,,
Forest Park Apartments,"1130 E. Canfield, Detroit, MI, 72301",2,,,
Forrest Knoll Apartments,"693 Arbor Dr., Ypsilanti, MI, 72301",1,,,
Fox Ridge Apartments,"1320 Fox Ridge Drive, Kalamazoo, MI, 39120",2,,,
Freedom Place Apartments,"1240 W Forest Ave, Detroit, MI, 48228",2,,,
Freeland Elderly,"531 Centre St., 246 Centre St. & 403 Ridge St., Freeland, PA, 43609",3,,,
Garden Manor Apartments,"1400 North Bridge Street, Jonesboro, AR, 43614",2,,,
Gardenview Apartments,"801 Gardenview Drive, Flint, MI, 43614",3,,,
George Washington Carver Apartments,"350 10th Street North, Naples, FL, 15666",2,,,
Ginger Square Apartments,"1200 Pennbrook, Owosso, MI, 48473",2,,,
Grandview Tower,"1016 7th Street, Port Huron, MI, 48207",7,,,
Greentree Apartments,"4320 Kalamazoo Avenue SE, Kentwood, MI, 48207",6,,,
Harbor Village,"287 West 40th Street, Holland, MI, 48202",2,,,
"Himelhoch 2 (floors 2,3,7)","1545 Woodward Avenue, Detroit, MI, 49423",7,,,
"Himelhoch 3 (floors 4,5,6 - LIHTC)","1545 Woodward Avenue, Detroit, MI, 44035",7,,,
Imperial Homes North,"2950 East Jackson Avenue, West Memphis, AR, 43203",2,,,
Imperial Homes South,"2950 East Jackson Avenue, West Memphis, AR, 92411",2,,,
Jeffersonian Apartments,"14 T. Waring Bennett Jr. Road, Natchez, MS, 48036",1,,,
Joy West Manor,"16301 Joy Road, Detroit, MI, 72401",3,,,
Lakewoods I,"2125 Arlington Ave, Toledo, OH, 48340",6,,,
Lakewoods II,"20 Garden Lake Court, Toledo, OH, 48340",1,,,
Lakewoods III,"1035 Garden Lake Court, Toledo, OH, 39213",1,,,
Maple Hill Apartments,"349 Maple St., Mt. Pleasant, PA, 48601",2,,,
Mari-Dan Miller Farms,"4935 Ita Court, Swartz Creek, MI, 49002",3,,,
Martin Luther King Homes I,"595 Chene St, Detroit, MI, 48238",2,,,
Martin Luther King Homes II,"595 Chene St, Detroit, MI, 44106",2,,,
McCoy Townhouses,"5569 John C. Lodge Freeway, Detroit, MI, 48207",2,,,
Meadow Lanes Townhomes,"1110 Washington Ave., Holland, MI, 49442",7,,,
Midview Crossing,"1864 Middle Avenue, Elyria, OH, 45225",2,,,
Mt. Vernon Plaza II,"945 Atcheson St, Columbus, OH, 48505",2,,,
New Zion Manor,"2000 Jubilee Court, San Bernardino, CA, 46516",2,,,
Newport Apartments,"24213 Lotus Dr, Clinton Township, MI, 48503",2,,,
North Acres Apartments,"1400 North Bridge Street, Jonesboro, AR, 48193",2,,,
North Hill Farms I,"74 Cherry Hill Dr., Pontiac, MI, 48238",1,,,
North Hill Farms II,"74 Cherry Hill Dr., Pontiac, MI, 44104",1,,,
North Hills Apartments,"6125 Brown St., Jackson, MS, 45225",2,,,
Northfield Center Apartments,"5465 Northfield Court, Bridgeport Township, MI, 48446",2,,,
Northwind/Hilltop Apartments,"NW - 1004 N. Douglas and Hilltop - 3000 S. Burdick, Kalamazoo, MI, 43615",7,,,
Oakman Townhomes,"2425 Ewald Circle, Detroit, MI, 44307",2,,,
Park Place I,"1435 East Boulevard, Cleveland, OH, 44307",4,,,
Parkview Tower and Square,"Tower - 1601 Robert Bradby Dr. & Square - 2901 E. Lafayette Ave., Detroit, MI, 44307",12,,,
Quail Meadow,"725 Meadow Lane, Muskegon, MI, 48342",1,,,
Reids Valley View Manor,"1990 Westwood Northern Blvd., Cincinnati, OH, NULL",3,,,
Ridgecrest Village Townhouses,"1069 Ridgecrest Drive, Flint, MI, 62018",2,,,
River Run,"740 Prairie St, Elkhart, IN, 34470",3,,,
River Village,"702 Father Dukette Blvd., Flint, MI, 32703",10,,,
Rivergreen Apartments,"17133 Rivergreen Blvd., Riverview, MI, 48141",3,,,
Ryan Court Apartments Phase II,"2425 Ewald Circle, Detroit, MI, 46514",2,,,
Shaker Boulevard Gardens,"2783 East 108th Street, Cleveland, OH, 48203",3,,,
Shelton Gardens,"2000 Westwood Northern Blvd, Cincinnati, OH, 48060",3,,,
Silver Maple Village,"677 Dewey Street, Lapeer, MI, 71854",2,,,
Southgate Woods Apartments,"472 Southgate Circle Drive, Toledo, OH, 71854",3,,,
Spring Hill Phase I,"1180 Rentar Lane, Akron, OH, 48226",4,,,
Spring Hill Phase II,"1221 Everton Drive, Akron, OH, 43228",5,,,
Spring Hill Phase III,"1231-1261 Everton Drive AND 1220-1266 Rentar Lane, Akron, OH, 49006",3,,,
Spring Lake Village,"252 Carriage Circle, Pontiac, MI, 49508",2,,,
St. Thomas Square & Worthington Townhouses,"1050 E. 61st St., and 6419, 6423, 6429, 6433 S Newport Ave 74136 AND 11813 E 21st Ct. 74129, Tulsa, OK, 49247",2,,,
Storey Manor,"40 B. Manor Drive, Alton, IL, 48174",4,,,
Sutton Place,"523 NE 23rd Circle, Ocala, FL, NULL",2,,,
Taylor Apartments,"131 East 15th Street, Apopka, FL, 44108",2,,,
Thompson Tower,"27727 Michigan Ave., Inkster, MI, 48420",9,,,
Town & Country Apartments,"1221 Georgia Blvd., Elkhart, IN, 24801",2,,,
Town Center Apartments,"14441 2nd Avenue, Highland Park, MI, 44108",2,,,
Village Manor Apartments,"3145 Electric Avenue, Port Huron, MI, 33916",2,,,
Village Park South I Apartments,"2225 East St., Texarkana, AR, 45801",2,,,
Village Park South II Apartments,"2225 East St., Texarkana, AR, 33475",2,,,
Washington Boulevard Building,"1200 Washington Boulevard, Detroit, MI, 48328",21,,,
Wedgewood Village Apartments,"777 Wedgewood Drive, Columbus, OH, 60548",3,,,
Westland Meadows,"4300 Leisure Lane, Kalamazoo, MI, 48362",2,,,
Whitney Young Village,"4848 Breton Rd. SE, Kentwood, MI, 48201",2,,,
Woodruff Estates,"751 Tiffin Street, Hudson, MI, 48201",2,,,
Woodside Square,"35473 North Alexander, Romulus, MI, 95380",2,,,
Beaubien,"454 Watson St., Detroit, MI, 66441",2,,,
Brush,"434 Watson St., Detroit, MI, 29720",2,,,
Denair Manor Apartments,"550 Wayside Drive, Turlock, CA, 29728",2,,,
Lincoln Apartments,"404 Witsell St., Walterboro, SC, NULL",2,,,
MID B1,"444 Watson St., Detroit , MI, NULL",5,,,
MID B2,"444 Watson St., Detroit , MI,",5,,,
Mt. Vernon Plaza I,"1035 Atcheson St, Columbus, OH,",13,,,
Rainbow Terrace Apartments,"7310 Carson Ave., Cleveland, OH,",1,,,
Riverside Apartments,"3245 Lucius Road, Columbia, SC,",2,,,
Walhalla Gardens,"100 Walhalla Gardens Circle #9, Walhalla, SC,",2,,,
Westwood Apartments,"1028 Westwood Dr., Manning, SC,",2,,,
Chelsea Plaza,"566 Freeman Court, Kansas City, KS,",3,,,
Duncan Village,"100 Duncan St. , Duncan, SC,",2,,,
Gateway Plaza,"1430 N Fourth St, Kansas City, KS,",2,,,
Green Park Apartments,"1435 N Calhoun St., Junction City, KS,",1,,,
Lancaster Manor,"201 Chesterfield Ave. , Lancaster, SC,",3,,,
Pageland Place,"205 Mangum St., Pageland, SC,",2,,,
