Job Title,Company Name,Date Applied,Application Deadline,Job URL,Location,Contact Person,Contact Email,Application Status,Interview Date,Notes
AVP Relationship Manager,Michael Page,29 April,2 Weeks,https://www.michaelpage.ae/job-apply-external/ref/jn-032024-6360782/emF5bmFoYWJvb2Jha2VyLjM2ODA2LjEzNjRAcGFnZWFlLmFwbGl0cmFrLmNvbQ%3D%3D?utm_source=BAYT&utm_medium=Job%20board&utm_campaign=BAYT%20job%20posting&land=external&_exception_statuscode=404&source=BAYT&success=true&type=standard&job_alert=1&hash=dbc65493011d02585e3bbed32917f982&apply_questions=true,UAE,Zaynah Aboobaker,NA,Under Review,NA,Summary for Phone Interview
Business Development Officer,Future Careers Middle East Freezone LLC,29 April,NA,NA,Saudi Arabia,NA,NA,Under Review,NA,Phone Interview
Business Development Officer,Gerard Cafe,29 April,NA,https://www.bayt.com/en/jobs/?options%5Bis_recommended_jobs%5D%5B0%5D=1&jobId=5083253,UAE,NA,NA,Under Review,NA,Phone Interview
Relationship Manager,Commercial Bank of Qatar,29 April,NA,https://www.bayt.com/en/international/jobs/Relationship%20Manager-jobs/?jobId=5099570,Qatar,NA,NA,Under Review,NA,Phone Interview
Relationship Manager,WIN Jewellery LLC,29 April,NA,https://www.bayt.com/en/job/applied/?jb_id=5079881&cv_id=46991573,UAE,NA,NA,Under Review,NA,Phone Interview
Relationship Manager,People Dynamics,29 April,NA,https://www.bayt.com/en/international/jobs/Relationship%20Manager-jobs/?jobId=4962802,Oman,NA,NA,Under Review,NA,Phone Interview
Public Relations Officer,Power International Holding,29 April,NA,https://www.bayt.com/en/international/jobs/relationship-manager-jobs/?options%5Bsort%5D%5B%5D=d&jobId=5101007,Qatar,NA,NA,Under Review,NA,Phone Interview
Public Relations Manager,Nbn,29 April,NA,https://www.bayt.com/en/international/jobs/Relation-jobs/?jobId=5100386,UAE,NA,NA,Under Review,NA,Phone Interview
Customer Service Supervisor,MVP Appliances,29 April,NA,NA,UAE,NA,NA,Under Review,NA,NA
Customer Success Team Leader,Foodics,29 April,NA,NA,KSA,NA,NA,Under Review,NA,Phone Interview
Customer Service Manager,Nine Dots,29 April,NA,NA,KSA,NA,NA,Under Review,NA,Phone Interview
Customer Serivce Supervisor,Laverne Perfumes,29 April,NA,NA,KSA,NA,NA,Under Review,NA,NA
